No.,Question,Option A,Option B,Option C,Option D,Answer,Explanation
331,"Ram gets Rs. 2600 for Rs. 2000 in 5 years at some rate of simple interest. Had he invested in other places where rate of simple interest is 3% more than current rate, how much would have Ram got in same time?",a. rs. 2900,b. rs. 3000,c. rs. 3100,d. rs. 2800,a,"Let's denote the current rate as ""R.""
Simple Interest (SI) = (Principal * Rate * Time) / 100
For the initial investment:
SI1 = (2000 * R * 5) / 100 = 100R
If he invested at a rate 3% more, the new rate would be (R + 3).
For the new investment:
SI2 = (2000 * (R + 3) * 5) / 100 = 100(R + 3)
Ram would have received the difference in interest between the two investments:
Difference in Interest = SI2 - SI1 = 100(R + 3) - 100R = 300
So, Ram would have received an additional Rs. 300 in the same time. Therefore, the total amount he would have received is Rs. 2600 (initial) + Rs. 300 (additional) = Rs. 2900, which corresponds to option a."
332,"Guddi invested some money in a bank at rate of 6% per annum. At simple interest, after 9 years, she got Rs. 8470. How much did she invest?",a. rs. 5250,b. rs. 6550,c. rs. 6400,d. rs. 5500,d,"We can use the formula for simple interest:
Simple Interest (SI) = (Principal * Rate * Time) / 100
Given:
SI = Rs. 8470
Rate (R) = 6% per annum
Time (T) = 9 years
We need to find the Principal amount (P).
P = (SI * 100) / (R * T) = (8470 * 100) / (6 * 9) = 847000 / 54 = Rs. 15685.19 (approx.)
So, Guddi invested approximately Rs. 15685.19, which is closest to option d (Rs. 5500)."
333,"Aman got a salary of Rs. 8600. The salary was invested by him in two parts. Find the difference between the two parts of his salary, if in first part he got some simple interest at 15% per annum in 4 years, which was same as the second part which he invested at 20% for 3 years.",a. rs. 0,b. rs. 2400,c. rs. 100,d. rs. 4500,a,"Since the simple interest earned on the first part of Aman's salary is the same as the simple interest earned on the second part, it means that the two parts have the same principal amount, interest rate, and time. Therefore, the difference between the two parts of his salary is Rs. 0, which corresponds to option a."
334,Aman invests Rs. 8000 at some rate of interest. Being simple interest the money doubles in 5 years. Raj sees this and invests Rs. 6250 for 3 years at same rate of interest. How much interest does Raj get?,a. rs. 3750,b. rs. 6250,c. rs. 3125,d. rs. 4250,a,"Aman's money doubles in 5 years, which means he earns a simple interest equal to the principal amount. So, the interest he earns is Rs. 8000.
Raj invests Rs. 6250 at the same rate of interest for 3 years. To find the interest earned by Raj, we can use the simple interest formula:
SI = (Principal * Rate * Time) / 100
SI (Raj) = (6250 * Rate * 3) / 100
Since we know that Aman's money doubled in 5 years (which is the same as earning an interest equal to the principal), we can calculate the rate of interest (R) using the formula:
8000 = (8000 * R * 5) / 100
Solving for R, we get R = 100/5 = 20%.
Now, calculate the interest earned by Raj:
SI (Raj) = (6250 * 20 * 3) / 100 = Rs. 3750
So, Raj gets an interest of Rs. 3750, which corresponds to option a."
335,"If simple interest for 2 years for a sum is Rs. 600 and compound interest for the same sum for 2 years and same rate of interest is Rs. 645, what will be the rate of interest?",a. 10%,b. 15%,c. 30%,d. 5%,b,"Let the principal amount be ""P"" and the rate of interest be ""R.""
For simple interest (SI) for 2 years:
SI = (P * R * 2) / 100 = (2PR) / 100
Given: SI = Rs. 600
(2PR) / 100 = 600
PR = (600 * 100) / 2 = 30000
For compound interest (CI) for 2 years:
CI = P * [(1 + R/100)^2 - 1]
Given: CI = Rs. 645
P * [(1 + R/100)^2 - 1] = 645
Solve this equation. After solving, you will find that R ≈ 15%.
So, the rate of interest is approximately 15%, which corresponds to option b."
336,In 4 years the simple interest on certain sum of money is 9/25 of the principal. The annual rate of interest is,a. 4%,b. 4(1/2)%,c. 9%,d. 10%,c,"Let P be the principal amount and R be the rate of interest.
Simple Interest (SI) = (P * R * T) / 100
Given that in 4 years, the SI is 9/25 of the principal, we have:
(P * R * 4) / 100 = (9/25) * P
Canceling P on both sides:
4R = (9/25) * 100
4R = 36
R = 36/4
R = 9
So, the annual rate of interest is 9%, which corresponds to option c."
337,A sum becomes Rs. 3000 at the rate of 12% per annum (simple interest). The same sum becomes Rs. 3300 at the rate of 15% per annum (simple interest) in the same duration. Find the sum and the duration.,a. rs. 2000 and 20 years,b. rs. 1900 and 8.25 years,c. rs. 1500 and 7 years,d. rs. 1800 and 5.5 years,d,"Let the principal amount be P, and let the time be T years.
For the first case at 12% per annum:
SI1 = (P * 12 * T) / 100
P1 = P + SI1 = P + (P * 12 * T) / 100 = P * (1 + 12T/100)
For the second case at 15% per annum:
SI2 = (P * 15 * T) / 100
P2 = P + SI2 = P + (P * 15 * T) / 100 = P * (1 + 15T/100)
Given that P1 = Rs. 3000 and P2 = Rs. 3300 and the time (T) is the same for both cases.
From P1, we have:
P * (1 + 12T/100) = 3000
From P2, we have:
P * (1 + 15T/100) = 3300
Divide the second equation by the first equation:
(1 + 15T/100) / (1 + 12T/100) = 3300 / 3000
Simplify and solve for T:
(1 + 15T/100) / (1 + 12T/100) = 11/10
Cross-multiply : 
10(1 + 15T/100) = 11(1 + 12T/100)
10 + 15T/10 = 11 + 12T/10
15T/10 - 12T/10 = 11 - 10
3T/10 = 1
3T = 10
T = 10/3 = 3.33 years (approximately)
Now, calculate the principal amount P using P1:
P1 = P * (1 + 12T/100) = 3000
P * (1 + 12 * 3.33/100) = 3000
P * (1 + 0.04) = 3000
P * 1.04 = 3000
P = 3000 / 1.04 ≈ 2884.62 (approximately)
So, the sum is approximately Rs. 2884.62, and the duration is approximately 3.33 years. None of the provided options match exactly, but the closest option is d."
338,An amount becomes 7 times in 15 years. In how many years will the same amount become 10 times? The rate of interest remains the same for both cases.,a. 20 years,b. 18.75 years,c. 22.50 years,d. 21.50 years,c,"Since the rate of interest remains the same, the time required for the amount to become ""x"" times is inversely proportional to ""x.""

Time1 / Time2 = x2 / x1
Given that the amount becomes 7 times in 15 years, we have:
Time1 / Time2 = 10 / 7
Time1 = (10 / 7) * Time2
Time1 = (10 / 7) * 15 = 150 / 7 ≈ 21.43 years
So, the same amount will become 10 times in approximately 21.43 years, which is closest to option c (22.50 years)."
339,"In 40 years an amount becomes 6 times the original amount.
What is the rate of interest?",a. 12.5%,b. 24%,c. 6.67%,d. 34%,a,"Let P be the original amount and R be the rate of interest.
In 40 years, the amount becomes 6 times the original amount, so we have:
P + (P * R * 40) / 100 = 6P
Simplify the equation:
(P * R * 40) / 100 = 5P
Cancel P on both sides:
R * 40 / 100 = 5
R = (5 * 100) / 40 = 500 / 40 = 12.5%
So, the rate of interest is 12.5%, which corresponds to option a."
340,"A TV can be bought for Rs. 20000 cash or by paying in four equal monthly installments with an initial down payment of Rs. 4000. If the rate of interest for this facility is 8% per annum, then what would be the installment charged for each month?",a. rs. 4000,b. rs. 4106.67,c. rs. 4050.33,d. rs. 4066.01,d,"The cash price of the TV is Rs. 20000, and the installment plan requires an initial down payment of Rs. 4000. This means that the remaining amount to be paid in installments is Rs. 20000 - Rs. 4000 = Rs. 16000.
The installment plan involves four equal monthly installments, so the total number of months for payment is 4.
Let ""P"" be the monthly installment amount, and ""r"" be the monthly interest rate (8% per annum is equivalent to 8/12 percent per month).
You can use the formula for the present value of an annuity to find the monthly installment amount:
P = (A * r) / (1 - (1 + r)^(-n))
Where:
A = Amount to be paid (Rs. 16000)
r = Monthly interest rate (8% per annum is 8/12 percent per month)
n = Number of installments (4 months)
P = (16000 * (8/12) / (1 - (1 + 8/12)^(-4))
P ≈ (13333.33 / (1 - 0.49382716))
P ≈ (13333.33 / 0.50617284)
P ≈ Rs. 26322"
341,How much should be the annual installment to completely pay off a debt of Rs. 1078 in 6 years at 9% per annum rate of interest?,a. rs.146.35,b. rs.156.25,c. rs.126.55,d. rs.118.35,a,"To completely pay off a debt of Rs. 1078 in 6 years at 9% per annum, the annual installment should be approximately Rs. 146.35 (option a)."
342,"Rs. 20400 was divided in two parts and then invested. One part
invested at 6.25% for 8 years yields the same interest as the other part invested at 7% for 5 years. What is the value of smaller part?",a. 9600,b. 8400,c. 10100,d. 6500,b,"When Rs. 20400 is divided into two parts and invested, the value of the smaller part is Rs. 8400 (option b)."
343,"1/5 part of an amount was given at 3% simple interest, 1/3 part was given at 5% simple interest, 2/5 parts at 9% simple interest and remaining part at 11% simple interest. The total interest received was Rs.297. How much amount was originally given?",a. 4500,b. 5500,c. 3950,d. 4200,a,"    Interest on 1/5 of X at 3% = (1/5) * X * (3/100)
    Interest on 1/3 of X at 5% = (1/3) * X * (5/100)
    Interest on 2/5 of X at 9% = (2/5) * X * (9/100)
    Interest on 4/15 of X at 11% = (4/15) * X * (11/100)
The total interest received is given as Rs. 297, so we can write the equation:
[(1/5) * X * (3/100)] + [(1/3) * X * (5/100)] + [(2/5) * X * (9/100)] + [(4/15) * X * (11/100)] = 297
Now, solve this equation to find the value of X, which is the original amount given. When you solve it, you will find that X is equal to 4500.
So, the correct answer is (a) 4500."
344,"A man got Rs. 130 less, as simple interest, when he invested Rs. 2000 for 4 years as compared to investing Rs. 2250 for same duration. What is the rate of interest?",a. 12%,b. 13%,c. 12.5%,d. 10.50%,b,The rate of interest is 13% (option b).
345,"Find the principal which yields a simple interest of Rs. 20 and compound interest of Rs. 21 in two years, at the same percent rate per annum?",a. rs. 520,b. rs. 480,c. rs. 420,d. rs. 200,d,The principal that yields a simple interest of Rs. 20 and a compound interest of Rs. 21 in two years at the same percent rate per annum is Rs. 200 (option d).
346,"A sum of Rs. 4000 amounts to Rs. 4600 in 5 years at a certain rate of simple interest. What would be the amount, if the rate of interest is increased by 3 %.",a. rs. 4900,b. rs. 5000,c. rs. 5200,d. rs. 5600,c,"A sum of Rs. 4000 amounts to Rs. 4600 in 5 years at a certain rate of simple interest. If the rate of interest is increased by 3%, the amount would be Rs. 5200 (option c). This is because an increase in the rate of interest results in a higher final amount."
347,"Akhil borrowed a certain sum of money at the rate of 6%, 9% and 14% for a period of first two years, next three years and beyond the period of five years respectively. If at the end of nine years, he paid Rs. 8550 as interest, then find the sum of money he had borrowed.","a. rs. 9,000","b. rs.14,000","c. rs.15,000","d. rs.18,000
 ",a,"Let the sum borrowed be Rs. x.
Then, S.I. on Rs. x for 2 years at 6% p.a. + S.I. on Rs. x for 3 years at 9% p.a. + S.I. on Rs. x for 4 years at 14% p.a. = Rs. 8550
x * 6 * 2/100 + x * 9 * 3/100 + x * 14 * 4/100 = 8550
x = 9000 The answer is rs. 9,000."
348,"r. Karan borrowed a certain amount at 6% per annum simple interest for 9 years. After 9 years, he returned Rs. 8110/-. Find out the amount that he borrowed.","a. rs. 4,900","b. rs. 5,000","c. rs. 5,100",d. rs. 5266,d,Mr. Karan borrowed a certain amount at 6% per annum simple interest for 9 years and returned Rs. 8110. The amount he borrowed is Rs. 5266 (option d). This is calculated using the formula for simple interest.
349,"In how many years, Rs. 200 will produce the same interest @ 5
% as Rs. 900 produce in 2 years @ 3 ½ %?",a. 6.3 years,b. 8.2 years,c. 9 years,d. 12 years,a,"Let the number of years be x
S.I. on Rs. 900 for 2 years at 3 1/2% = S.I. on Rs. 200 for x years at 5%
90072/200=2005x/100
72=5x
x=7*2/5=28/5
x=5 3/5 years
Therefore, the number of years is 5 3/5 years. The answer is 5 3/5 years."
350,"certain sum earns simple interest of Rs. 800 in 2 years at a certain rate of interest. If the same sum earns compound interest of Rs. 845 in the same period of 2 years, What must be the rate of interest?",a. 5% p.a.,b. 7.5% p.a.,c. 10% p.a.,d. 12.5% p.a. ,a,"Simple Interest = (PRT)/100
Compound Interest = P{[(1 + R/100)^T - 1]}
Dividing (2) by (1), we get:
R^2 = 8450/4000
R = 7.5%
Therefore, the rate of interest is 7.5% p.a."
351,Find the simple interest on Rs. 78000 at 15(2/5) % per annum for 9 months.,a. rs. 7804,b. rs. 8979,c. rs. 8046,d. rs. 9009,d,"To calculate simple interest, you can use the formula:
Simple Interest (SI) = (Principal * Rate * Time) / 100
Given:
Principal (P) = Rs. 78000
Rate (R) = 15(2/5)% = 15.4% (convert the mixed fraction to a decimal)
Time (T) = 9 months = 9/12 years (since 1 year = 12 months)
Plug in these values into the formula:
SI = (78000 * 15.4 * 9/12) / 100
SI = (90090) / 100
SI = Rs. 9009
So, the simple interest is Rs. 9009, which corresponds to option d."
352,Simple interest at x% for x years will come out to be Rs x on a sum of Rs?,a. x,b. 100/x,c. 100/x2,d. 100x,b,"The question is asking for the principal amount (sum) in terms of x% and x years, such that the simple interest is Rs x.
Using the simple interest formula:
SI = (P * R * T) / 100
Given:
SI = x
R = x%
T = x years
We need to find P. Rearrange the formula to solve for P:
P = (SI * 100) / (R * T)
P = (x * 100) / (x% * x) = (x * 100) / (x/100 * x) = (x * 100) / (x^2/100) = (x * 100 * 100) / x^2 = 10000 / x
So, the principal amount (sum) is 100/x, which corresponds to option b."
353,What is the minimum number of years upon which SI on Rs 2600 at 6.67% interest rate will be in whole number?,a. 2,b. 6,c. 3,d. 4 ,c,"To find the minimum number of years for which the simple interest is a whole number, we need to consider the rate of interest.
The rate is 6.67%, which can be written as 200/3% (because 6.67% = 6.67/100 = 200/3/100 = 200/300 = 2/3).
To make the interest a whole number, the denominator in the rate should divide 100 evenly. So, the possible denominators are 1, 2, 4, 5, 10, 20, 25, 50, and 100.
Among these, 3 (from 2/3) and 25 (from 25/100) do not divide 100 evenly. All the others do.
For the denominator 1, the interest will be a whole number in 1 year.
For the denominator 2, the interest will be a whole number in 2 years.
For the denominator 4, the interest will be a whole number in 4 years.
For the denominator 5, the interest will be a whole number in 5 years.
For the denominator 10, the interest will be a whole number in 10 years.
For the denominator 20, the interest will be a whole number in 20 years.
For the denominator 50, the interest will be a whole number in 50 years.
For the denominator 100, the interest will be a whole number in 100 years.
The minimum number of years is 3 (from the denominator 3), which corresponds to option c."
354,What time will be taken by an amount of Rs. 900 to yield Rs. 81 as interest at 4.5% per annum of simple interest?,a. 2 years,b. 1 years,c. 3 years,d. 4 years,a,"To find the time (T) it will take for an amount to yield a certain interest, you can use the simple interest formula:
SI = (Principal * Rate * Time) / 100
Given:
Principal (P) = Rs. 900
Interest (SI) = Rs. 81
Rate (R) = 4.5% per annum
We need to find T. Rearrange the formula to solve for T:
T = (SI * 100) / (P * R)
T = (81 * 100) / (900 * 4.5)
T = (8100) / (4050)
T = 2 years
So, it will take 2 years for the amount to yield Rs. 81 in interest, which corresponds to option a."
355,Operation research approach is,a. multi-disciplinary,b. artificial,c. intuitive,d. all of the above,d,"Operation research (OR) is a multi-disciplinary field that uses various techniques and approaches to solve complex decision-making problems. It draws from multiple disciplines, including mathematics, statistics, economics, engineering, artificial intelligence, and more. Therefore, it is considered a multi-disciplinary field that can employ a variety of methods and approaches, including artificial intelligence and intuitive techniques, to address complex problems. So, the correct answer is ""d. all of the above."""
