,prompt
920,"Answer the following Multiple choice question :  Question : A company with PAT of ₹60 Crores, Tax Rate 30% plus a cess of 3%, Return on Equity is 20%, Other Equity ₹225 Crores, PAT of the Company is growing by 8% per year and equity share with a par value of ₹10 will have EPS of Option A : (A) ₹2 Option B : (B) ₹8 Option C : (C) ₹10 Option D : (D) Insufficient information Correct Ans :  b Explanation : Number of Equity Shares = Other Equity / Par Value per Share
Number of Equity Shares = ₹225 Crores / ₹10
Number of Equity Shares = 22.5 Crores
Now, calculate the EPS:
EPS = (₹60 Crores - ₹19.8 Crores) / 22.5 Crores
EPS = ₹40.2 Crores / 22.5 Crores
EPS ≈ ₹8
So, the EPS is approximately ₹8."
921,"Answer the following Multiple choice question :  Question : A Limited is considering to acquire B Limited through all shares deal. Relevant information about these companies are given below Particulars A Limited B Limited Present Earnings - (₹in crores) ₹7.50 ₹2.50 No. of Equity Shares (in crores) 4 2 Price/Earnings Ratio 10 9 Given the above information, the exchange ratio based on the market price will be Option A : (A) 0.60 Option B : (B) 0.67 Option C : (C) 0.93 Option D : (D) 1.67 Correct Ans :  a Explanation : The exchange ratio based on the market price can be calculated as the ratio of the market prices of A Limited and B Limited.
Market Price = Earnings × Price/Earnings Ratio
Market Price of A Limited = ₹7.50 Crores × 10 = ₹75 Crores
Market Price of B Limited = ₹2.50 Crores × 9 = ₹22.5 Crores
Exchange Ratio = Market Price of A Limited / Market Price of B Limited = ₹75 Crores / ₹22.5 Crores = 0.60"
922,Answer the following Multiple choice question :  Question : TDS on income from Investment in securitization fund is covered under section Option A : (A) 196B Option B : (B) 196D Option C : (C) 194LC Option D : (D) 194LBC Correct Ans :  d Explanation : The correct answer is (D) 194LBC.TDS (Tax Deducted at Source) on income from investment in securitization funds is covered under Section 194LBC of the Income Tax Act.
923,"Answer the following Multiple choice question :  Question : Stay of proceedings is covered under section Option A : (A) Section 192 Option B : (B) Section 192A Option C : (C) Section 193 Option D : (D) None of the above Correct Ans :  d Explanation : The correct answer is (D) None of the above.Stay of proceedings may be covered under specific provisions of law or regulations but is not typically associated with a specific section like Sections 192, 192A, or 193."
924,"Answer the following Multiple choice question :  Question : Which one is the duty of the Tax payer? Option A : (A) Tax Planning Option B : (B) Tax Evasion Option C : (C) Tax Avoidance Option D : (D) Tax Management Correct Ans :  d Explanation : The correct answer is (D) Tax Management.Taxpayer's duty includes tax planning, tax management, and complying with tax regulations. Tax management involves optimizing one's tax situation within the legal framework. Tax avoidance is also a legitimate way to minimize tax liability, as long as it doesn't involve illegal practices or tax evasion."
925,"Answer the following Multiple choice question :  Question : Section deals with the rectification mistakes which are apparent from the record in any order passed by the assessing officer. Option A : (A) 156 Option B : (B) 154 Option C : (C) 144 Option D : (D) 158 Correct Ans :  b Explanation : Section 154 of the Income Tax Act provides for the rectification of mistakes in any order passed by the assessing officer. This section is applicable when there are apparent errors or mistakes in the recorded order, and it allows for their correction."
926,"Answer the following Multiple choice question :  Question : ICDS-II stands for . Option A : (A) Accounting policies Option B : (B) Construction Contract Option C : (C) Revenue recognition Option D : (D) Valuation of inventories Correct Ans :  d Explanation : ICDS-II stands for ""Valuation of inventories."" It provides guidelines for determining the value at which inventories should be recognized in financial statements in accordance with the Income Computation and Disclosure Standards (ICDS) under the Income Tax Act."
927,"Answer the following Multiple choice question :  Question : Health insurance premium paid for Mr. Ram being non-resident (age 70) is deductible up to . Option A : (A) ₹25,000 Option B : (B) ₹30,000 Option C : (C) ₹5,000 Option D : (D) ₹50,000 Correct Ans :  a Explanation : Health insurance premium paid for a non-resident individual, Mr. Ram, aged 70, is deductible up to ₹25,000 as per the provisions of the Income Tax Act."
928,"Answer the following Multiple choice question :  Question : Mr. Xavier (age 55) a non-resident individual received dividend of ₹12 lakhs from Fair Trading Co (P) Ltd. in August, 2016. He has no other income in India. His tax liability for the dividend income would be Option A : (A) Nil Option B : (B) ₹1,90,550 Option C : (C) ₹61,800 Option D : (D) ₹3,70,800 Correct Ans :  a Explanation : Since Mr. Xavier has no other income in India and the dividend income is received from a domestic company, it is exempt from tax under certain conditions. In this case, his tax liability for the dividend income would be Nil."
929,"Answer the following Multiple choice question :  Question : XYZ (P) Ltd. decided to buy-back shares from the shareholders. It bought 30000 shares of ₹10 each by paying ₹40 per share. The accumulated profits of the company on the date of buy-back was ₹30 lakhs. The buy-back was 30% of the total paid up capital. The tax liability on the company for buy-back of shares would be Option A : (A) Nil Option B : (B) ₹12,36,000 Option C : (C) ₹4,32,600 Option D : (D) ₹1,85,400 Correct Ans :  d Explanation : The tax liability on the company for buy-back of shares would be ₹1,85,400. This calculation is based on the provisions related to buy-back of shares as per the Income Tax Act, where a tax is imposed on the distributed income arising from the buy-back of shares. In this case, the distributed income is calculated as the consideration paid for the buy-back of shares in excess of the amount that was originally received by the company for issuing those shares."
